id,Formule,No Ele,Ele,BG,IM,Is BG Dir,Structure,a,b,c,alfa,beta,gamma,CA
mp-10748,TaCu3S4,3,Cu-S-Ta,1.9231000000000003,False,False,Cubic,5.48655743,5.48655743,5.48655743,90.0,90.0,90.0,102436.11892711745
mp-10778,RbPrSe2,3,Pr-Rb-Se,1.8997,False,False,Trigonal,8.366490383119018,8.366490383119018,8.366490367066984,30.49070305418554,30.49070305418554,30.49070620996903,97526.63987317297
mp-10779,RbNdSe2,3,Nd-Rb-Se,1.8958,False,False,Trigonal,8.356861439357491,8.356861439357491,8.356861940351514,30.29820548053481,30.29820548053481,30.298202638339603,90690.03368168756
mp-10781,RbGdSe2,3,Gd-Rb-Se,1.0338999999999998,False,False,Trigonal,8.316155469250395,8.316155469250395,8.316155650957874,29.76598596858464,29.76598596858464,29.76597914849816,105540.61636217248
mp-10782,RbTbSe2,3,Rb-Se-Tb,1.9336000000000002,False,False,Trigonal,8.306779567072937,8.306779567072937,8.306778810109355,29.57216019733804,29.57216019733804,29.572151668531966,35918.20763789332
mp-10783,RbHoSe2,3,Ho-Rb-Se,1.9586999999999999,False,False,Trigonal,8.297626081393151,8.297626081393151,8.297626394961217,29.329579744112355,29.329579744112355,29.32958321498881,27987.902479973298
mp-10784,RbErSe2,3,Er-Rb-Se,1.9769,False,False,Trigonal,8.292321412901735,8.292321412901735,8.292322111056965,29.22044578883219,29.22044578883219,29.220453497368943,25303.66636096543
mp-10785,RbLuSe2,3,Lu-Rb-Se,2.0299,False,False,Trigonal,8.275916421413847,8.275916421413847,8.275916382104361,28.942884244088212,28.942884244088212,28.942886349051346,21024.230797065953
mp-10919,Rb2PtC2,3,C-Pt-Rb,1.1361999999999999,False,False,Trigonal,5.40589341,5.4058936039051355,5.20080089,90.0,90.0,119.99999875226409,261816.08098799753
mp-10930,TbSF,3,F-S-Tb,1.2587000000000002,False,True,Tetragonal,3.78629042,3.78629042,6.82317797,90.0,90.0,90.0,32223.442112569577
mp-10931,HoSF,3,F-Ho-S,1.2995999999999999,False,True,Tetragonal,3.74383227,3.74383227,6.78733651,90.0,90.0,90.0,31274.60464205671
mp-10933,Nd2TeS2,3,Nd-S-Te,1.5871,False,False,Trigonal,4.64996429,4.64996580165161,7.77389009,90.0,90.0,119.99999669676093,123869.02185353589
mp-10969,CdCN2,3,C-Cd-N,2.3076,False,False,Trigonal,5.275998823453023,5.275999100691469,5.275999519115483,39.39670183472322,39.3967019192151,39.396691511844,5614.9230122845
mp-1022,K2S,2,K-S,2.3201,False,False,Cubic,5.242404296084912,5.242404070504071,5.24240345,59.99999754226846,59.99999896569069,60.00001274462765,20112.421519871445
mp-1039,MgTe,2,Mg-Te,2.3611999999999997,False,True,Hexagonal,4.5902025,4.590202578751011,7.43780571,90.0,90.0,120.00000678320104,22842.98216661997
mp-1087,SrS,2,S-Sr,2.497,False,False,Cubic,4.276606179790507,4.276605902047028,4.27660487,59.99999195511786,59.99999414047249,59.999998500435844,8017.255570936087
mp-1105,BaO2,2,Ba-O,2.2352,False,True,Tetragonal,3.8380151228495394,3.83801452304376,4.388789527710842,115.92869987302555,115.92869789637514,89.99999198306968,2518.01562928497
mp-1170,SnS2,2,S-Sn,1.5147999999999997,False,False,Trigonal,3.67430564,3.6743055611399518,6.22883184,90.0,90.0,120.00000989302579,57142.15933398699
mp-1190,ZnSe,2,Se-Zn,1.1663,False,True,Cubic,4.005679011332485,4.005678358128986,4.00567877,59.99999651610043,60.000001910391944,59.99999587930295,83248.3710616367
mp-1224,HgO,2,Hg-O,1.1867,False,False,Orthorhombic,3.58509138,5.56420636,6.69606078,90.0,90.0,90.0,63225.39200997923
mp-1266,Na2Se,2,Na-Se,2.0153,False,True,Cubic,4.7797231474600075,4.779723933066742,4.779725,60.00001337845651,60.0000079413951,60.00001472707701,70067.0174791174
mp-1315,MgS,2,Mg-S,2.7574,False,False,Cubic,3.683174605926628,3.683174666561613,3.68317402,59.999996646034006,59.999996101452325,59.999997997403355,4272.297077896137
mp-1342,BaO,2,Ba-O,2.0906000000000002,False,True,Cubic,3.946210029550849,3.9462094746618206,3.94621046,59.99999174024437,59.99999639169141,59.99999294301401,51618.28338660007
mp-1415,CaSe,2,Ca-Se,2.0728000000000004,False,False,Cubic,4.200550113224342,4.200550828397739,4.20055129,60.00001268284774,60.000007013125554,60.000005624384954,11530.258802301702
mp-1479,BP,2,B-P,1.2434999999999992,False,False,Cubic,3.204709645986926,3.2047104017639794,3.20471056,60.0000086888747,60.000000887576384,60.00000243347832,8184.513933873101
mp-1500,BaS,2,Ba-S,2.1488,False,False,Cubic,4.5617934537544,4.561793668426567,4.56179464,60.00000809484683,60.00000658720688,60.00001021135136,51310.029329953926
mp-1519,CaTe,2,Ca-Te,1.5535,False,False,Cubic,4.519620733579659,4.519621404809907,4.51962073,59.999989730757974,59.99998476842091,59.99999476569092,38468.496878397025
mp-1541,BeSe,2,Be-Se,2.6636999999999995,False,False,Cubic,3.654284317881507,3.654283073325434,3.65428332,59.99999776702328,60.000009033137594,60.000000139125135,4356.541193094771
mp-1550,AlP,2,Al-P,1.6294000000000004,False,False,Cubic,3.8699723319258843,3.869971937690879,3.86997254,60.00000339938077,60.00000676922062,60.00000114297318,13895.173518138945
mp-1569,Be2C,2,Be-C,1.1636999999999995,False,False,Cubic,3.057890265677607,3.057891517763093,3.05789259,60.00002096237881,60.00000741754277,60.00000593606153,3457.1170222439164
mp-1572,GaSe,2,Ga-Se,1.2405999999999997,False,False,Hexagonal,3.77343736,3.773436103465093,16.52079197,90.0,90.0,119.99998421345911,76025.32966510674
mp-1591,Al4C3,2,Al-C,1.3154000000000003,False,False,Trigonal,8.525228664084809,8.525228830640087,8.525228261341296,22.54559013747872,22.545582959120743,22.54558792639824,12390.161171835627
mp-1672,CaS,2,Ca-S,2.3819,False,False,Cubic,4.033866116246554,4.033866704326284,4.03386744,59.999993967105716,59.99998914455447,59.99998291656609,7292.231318288678
