Formule,Ele,BG,Structure,CA
ErBi2ClO4,Bi-Cl-Er-O,1.3769000000000005,2,27380.819371094854
SmBi2BrO4,Bi-Br-O-Sm,1.2782999999999998,2,44299.15782937207
LuBi2IO4,Bi-I-Lu-O,1.4425,2,61294.14534158999
SmZnPO,O-P-Sm-Zn,1.3609,5,90946.1171634894
PrBi2BrO4,Bi-Br-O-Pr,1.2269000000000003,2,52294.40918757975
YBi2ClO4,Bi-Cl-O-Y,1.3088000000000002,2,29641.692939013486
TmBi2IO4,Bi-I-O-Tm,1.4258999999999995,2,52805.167819378185
TbBi2IO4,Bi-I-O-Tb,1.3266999999999998,2,54257.01209246581
DyBi2BrO4,Bi-Br-Dy-O,1.3290000000000002,2,37978.11664305038
PrBi2ClO4,Bi-Cl-O-Pr,1.1244,2,42225.63252288237
NdBi2BrO4,Bi-Br-Nd-O,1.2198999999999995,2,50631.62434012751
YBi2BrO4,Bi-Br-O-Y,1.34,2,37783.67026729233
CsCu3O2,Cs-Cu-O,1.4572,5,130567.39141502928
CsNdO2,Cs-Nd-O,2.9366000000000003,4,3675.82705077794
LuSF,F-Lu-S,2.6141,5,6369.558536810776
CoF2,Co-F,2.2721,2,34528.11423049218
Rb2NiF6,F-Ni-Rb,2.4216,1,29193.815857045323
KVF3,F-K-V,2.0758999999999994,1,2919.256182356782
RbMnF3,F-Mn-Rb,2.9437,1,841.2672884390723
KrF2,F-Kr,2.7303,2,5150.5417362086055
F2,F,2.4556,6,8961.89282855808
CsErS2,Cs-Er-S,2.1441,5,14302.0875941439
LaN,La-N,1.1169000000000002,4,65715.54625144818
HfBrN,Br-Hf-N,2.1298000000000004,3,41984.92449914463
TlBr,Br-Tl,2.2962,1,17298.444781439
NdTlSe2,Nd-Se-Tl,1.2255000000000005,5,56265.43243976912
K2SnHgSe4,Hg-K-Se-Sn,1.4785,2,202781.1298047811
HoTlSe2,Ho-Se-Tl,1.2785000000000002,5,43668.420963426805
TbTlSe2,Se-Tb-Tl,1.2733000000000003,5,45999.41130737056
TlCl,Cl-Tl,2.5369,1,11392.240573333442
Sr(Li2P)2,Li-P-Sr,0.9758999999999998,5,340353.9331480138
ErTlSe2,Er-Se-Tl,1.2151000000000003,5,43818.031797232485
TlI,I-Tl,2.2086,1,31587.381363825298
NaMoO2,Mo-Na-O,2.3805,5,114663.90956116316
K2NiF6,F-K-Ni,2.3603,1,41639.93618291572
TbH2Br,Br-H-Tb,1.6956000000000002,5,28587.61213944359
Na2H4Pd,H-Na-Pd,2.2472000000000003,2,43208.74127916281
Ba2MgH6,Ba-H-Mg,2.8864,5,7442.579949256771
CdHClO,Cd-Cl-H-O,2.4655,4,3690.8565880564743
SrHgO2,Hg-O-Sr,2.1978,5,7783.07825588909
DyCuSe2,Cu-Dy-Se,1.0667999999999995,5,392676.379100985
AlSbO4,Al-O-Sb,1.6178,3,22566.974075730905
Cs2NiF6,Cs-F-Ni,2.4357,1,25179.208128612325
Sr2HN,H-N-Sr,1.8058,5,163275.3081902732
Ba2H6Ru,Ba-H-Ru,1.8699,1,24238.201960244514
Ba2H6Os,Ba-H-Os,1.9655,1,36211.27771402218
Na2H4Pt,H-Na-Pt,2.1188,2,37462.48407810264
Y2SeO2,O-Se-Y,2.1613,5,5586.752746550674
BiOF,Bi-F-O,2.8878000000000004,2,5185.505943038192
Tm2SeO2,O-Se-Tm,2.1129,5,5171.277431136312
CsErO2,Cs-Er-O,2.8015000000000003,4,2906.584954423831
SmAgO2,Ag-O-Sm,2.566,4,9230.131874684012
CsDyO2,Cs-Dy-O,2.835,4,3035.2549244241927
CsHoO2,Cs-Ho-O,2.8143,4,2945.76531891516
Li2CeO3,Ce-Li-O,1.9757,3,31896.3811818279
LaAgO2,Ag-La-O,2.8013,4,8907.82226695333
VBO4,B-O-V,2.6635,2,16161.856428599343
Tb2SeO2,O-Se-Tb,2.1407,5,5416.289126223407
CsGdO2,Cs-Gd-O,2.4891,4,4759.95637750971
Y2TeO2,O-Te-Y,1.0487000000000002,2,131365.42337296973
Li3VS4,Li-S-V,1.8832,1,282841.96304758266
La2UO6,La-O-U,1.4113999999999995,3,185708.47725651524
Dy2SeO2,Dy-O-Se,2.1479,5,5305.4375182218855
KLiZnS2,K-Li-S-Zn,2.4361,2,21148.393401501187
AcFeO3,Ac-Fe-O,0.9887999999999996,1,40982.88799625168
PaTlO3,O-Pa-Tl,2.6427000000000005,1,9186.563829850817
Sr(MgAs)2,As-Mg-Sr,1.3464000000000005,5,194839.34864291945
Rb2Hf2O5,Hf-O-Rb,1.9468,2,2636.6504019237336
NaPaO3,Na-O-Pa,2.952,1,4087.962300209894
Na2Hf2O5,Hf-Na-O,1.9603,2,2883.826558105766
AcCrO3,Ac-Cr-O,2.0031000000000008,1,21851.696212424325
AgBr,Ag-Br,1.1708,1,53271.42338579928
TiFeTe,Fe-Te-Ti,0.9852000000000009,1,794388.265915828
NaCaAs,As-Ca-Na,1.5819,1,223644.55821876143
ZrSnPt,Pt-Sn-Zr,0.9627999999999995,1,810627.5095756301
VBr2,Br-V,1.1332,5,13545.366654135158
GdF3,F-Gd,2.8622,1,3692.417624135585
K2PtC2,C-K-Pt,0.9937999999999998,5,451019.931460602
Na3BrO,Br-Na-O,1.8815,1,49642.94809167335
HfS2,Hf-S,1.2237,5,500327.6789188816
LiAuO2,Au-Li-O,1.3059,2,207033.3722138549
CrAuO2,Au-Cr-O,1.2660000000000005,5,370142.44102127047
NaAuO2,Au-Na-O,1.1589999999999998,6,98118.98242760292
MnTlF3,F-Mn-Tl,2.6304,1,14626.950782545806
TbTlS2,S-Tb-Tl,1.6253000000000002,5,23503.866120427003
NaTbS2,Na-S-Tb,2.2791,5,12618.380199229665
NaTbSe2,Na-Se-Tb,1.839,5,34556.02104574594
KTbS2,K-S-Tb,2.3136,5,12327.846896564712
SmTlSe2,Se-Sm-Tl,1.2218999999999998,5,50320.66026953594
SmTlS2,S-Sm-Tl,1.6781,5,29242.718401804414
RbYS2,Rb-S-Y,2.3166,5,11994.236410559237
RbSmTe2,Rb-Sm-Te,1.3163999999999998,5,356955.66340721736
PrTlSe2,Pr-Se-Tl,1.2621000000000002,5,59542.77243811111
NaSmTe2,Na-Sm-Te,1.1738,5,380554.0557522936
NaYSe2,Na-Se-Y,1.8434,5,30876.567203796734
NaScS2,Na-S-Sc,1.6789999999999998,5,93001.3602918998
NaPrSe2,Na-Pr-Se,1.7927,5,110102.6628194712
NaNdS2,Na-Nd-S,2.2045000000000003,5,19330.69599108537
NaNdSe2,Na-Nd-Se,1.8121000000000005,5,92800.49036597468
NaLaSe2,La-Na-Se,2.2767,5,31385.70145635
NaHoSe2,Ho-Na-Se,1.8867,5,26900.545035384435
NaDySe2,Dy-Na-Se,1.8635,5,30314.56605309494
NaGdSe2,Gd-Na-Se,1.3585,5,121914.21972806784
NaDyS2,Dy-Na-S,2.2856,5,11759.12847342757
