Formule,Ele,BG,Structure,CA
InPS4,In-P-S,2.4754000000000005,2,27061.905255413483
AlAs,Al-As,1.5036999999999998,1,92207.77653150584
ZnTe,Te-Zn,1.0732999999999997,1,227475.9718862572
Li3N,Li-N,0.984,4,219852.35980756336
Li2Se,Li-Se,2.9746,1,4373.008537554134
Na2O,Na-O,1.8736,1,82536.5442219703
NaS,Na-S,1.2348,4,56396.6597938009
IrF3,F-Ir,1.1410999999999998,5,417049.4665222003
GaP,Ga-P,1.6039,1,132236.67002498536
GaS,Ga-S,2.0036,4,22353.533292486987
Li2Te,Li-Te,2.4914,1,7401.304700239134
AlSb,Al-Sb,1.2255000000000005,1,348957.2552222329
CsAu,Au-Cs,1.0233,1,142700.51855477766
SrO2,O-Sr,2.8495000000000004,2,2234.0352020164614
SrSe,Se-Sr,2.2313,1,13824.998866014525
Na2Te,Na-Te,2.0282,1,62561.616050623
Cs2UO4,Cs-O-U,1.8211,2,106853.02762454878
Na2PtO2,Na-O-Pt,1.4632999999999998,3,51814.44917324935
HgI,Hg-I,1.6426000000000005,2,642451.1826638625
VCl2,Cl-V,1.2559999999999998,5,20469.306069576214
XeF2,F-Xe,2.6861999999999995,2,3712.433294379692
HgCl,Cl-Hg,2.7243000000000004,2,11323.398672808316
AgCl,Ag-Cl,0.9522000000000002,1,9240.430354182648
AgI,Ag-I,1.3674,1,84443.93592516544
CsBrF,Br-Cs-F,2.5062,2,12422.095680645332
Ca2NCl,Ca-Cl-N,2.371,5,34103.23371840593
BiClO,Bi-Cl-O,2.5681000000000003,2,6690.116967263639
K2PdCl4,Cl-K-Pd,1.4279000000000002,2,8985.79850533279
Rb2TeCl6,Cl-Rb-Te,2.6398,1,13033.415709574489
TlIO3,I-O-Tl,2.7633,5,9251.419519823958
CsGeCl3,Cl-Cs-Ge,2.1535,5,55949.250895280165
CsICl2,Cl-Cs-I,2.2301,5,17065.467111331178
Ca2BrN,Br-Ca-N,2.4254,5,32204.52280927021
Sr2NCl,Cl-N-Sr,1.9398000000000004,5,79794.45746886307
Ca2PI,Ca-I-P,1.6997000000000004,5,146024.17633880975
ZrIN,I-N-Zr,1.2172,3,44845.778132122905
Sr2BrN,Br-N-Sr,1.8455,5,89361.1133267938
BiBrO,Bi-Br-O,2.2251,2,10758.881757173169
HgBr,Br-Hg,2.2557,2,45959.2633679429
InI,I-In,1.3412000000000002,3,313509.1466665531
BrF3,Br-F,2.211,3,5370.491308069628
Cs2PtCl6,Cl-Cs-Pt,2.1146,1,24805.573921457624
Cs2TeCl6,Cl-Cs-Te,2.7815000000000003,1,11466.394384937186
Rb2PbCl6,Cl-Pb-Rb,1.2605,1,117264.20812560157
LiH,H-Li,2.981,1,10195.54681615706
KMgH3,H-K-Mg,2.458,1,2710.9691807088807
Mg2FeH6,Fe-H-Mg,1.914,1,10452.05506345871
BaLiH3,Ba-H-Li,2.2146,1,13394.380844517911
BaHI,Ba-H-I,2.8111,2,4890.688355140904
HoHSe,H-Ho-Se,1.4981000000000004,4,58105.62950650579
Sr2H6Ru,H-Ru-Sr,2.2360999999999995,1,7386.2992146541055
RbH,H-Rb,2.9163,1,6317.384331064218
RbIO3,I-O-Rb,2.8369,5,6785.936604435413
Ca3AsBr3,As-Br-Ca,1.6726,1,175245.94344768242
LiBiF6,Bi-F-Li,2.5394,5,10765.966990507368
NaBiF6,Bi-F-Na,2.7315,5,5124.297707729901
ErSCl,Cl-Er-S,2.9329,3,5764.415772501484
InClO,Cl-In-O,2.3645,3,5757.72049710997
InBrO,Br-In-O,1.9948,3,17034.61452871854
SO2,O-S,2.8368,3,2991.437238661991
BiF5,Bi-F,1.8138,2,73950.3195197174
Rb2TiCl6,Cl-Rb-Ti,2.1471,1,110193.87027241485
Cs2TiCl6,Cl-Cs-Ti,2.2291,1,63415.51337846289
Tl2SnCl6,Cl-Sn-Tl,2.4814,1,3841.479887296004
Tl2PtCl6,Cl-Pt-Tl,1.7373999999999998,1,36213.36499166497
K2TiCl6,Cl-K-Ti,2.0826,1,154336.6915290585
VBrO,Br-O-V,1.4911,3,85262.43418066922
Ba2PCl,Ba-Cl-P,1.2602000000000002,5,186587.9024646923
U(OF)2,F-O-U,2.1045000000000003,5,5226.076975912966
MnI2,I-Mn,1.1707999999999998,5,68097.20205499069
ThBrN,Br-N-Th,2.6396,2,5763.346572063539
ThIN,I-N-Th,2.6859,2,7413.955691231634
Ca3AsCl3,As-Ca-Cl,1.8439,1,152955.13473379822
Rb2PdCl6,Cl-Pd-Rb,1.2868,1,278343.6218511205
K3IO,I-K-O,1.0284000000000002,1,30245.933643374683
MnCl2,Cl-Mn,1.7925999999999995,5,2367.384380918222
